ids	Export_Decision	Economical_State	Profit
1	1	2	1694500.0
2	1	0	2357000.0
3	1	2	1694500.0
4	0	2	1870000.0
5	0	1	-711000.0
6	0	0	2726000.0
7	0	1	-711000.0
8	1	0	2357000.0
9	2	1	766000.0
10	1	0	2357000.0
11	0	0	2726000.0
12	0	0	2726000.0
13	2	2	1425000.0
14	1	1	900500.0
15	0	2	1870000.0
16	2	0	210000.0
17	2	1	766000.0
18	1	2	1694500.0
19	1	1	900500.0
20	1	2	1694500.0
21	2	0	210000.0
22	1	1	900500.0
23	1	2	1694500.0
24	2	2	1425000.0
25	2	0	210000.0
26	1	1	900500.0
27	1	0	2357000.0
28	0	1	-711000.0
29	2	0	210000.0
30	1	2	1694500.0
31	0	1	-711000.0
32	1	2	1694500.0
33	1	0	2357000.0
34	0	1	-711000.0
35	1	1	900500.0
36	2	0	210000.0
37	2	0	210000.0
38	2	2	1425000.0
39	0	0	2726000.0
40	1	1	900500.0
41	1	0	2357000.0
42	2	1	766000.0
43	0	1	-711000.0
44	0	2	1870000.0
45	1	1	900500.0
46	1	1	900500.0
47	0	2	1870000.0
48	0	0	2726000.0
49	0	0	2726000.0
50	1	1	900500.0
51	0	2	1870000.0
52	0	1	-711000.0
53	1	0	2357000.0
54	1	0	2357000.0
55	0	2	1870000.0
56	0	0	2726000.0
57	2	2	1425000.0
58	2	0	210000.0
59	0	1	-711000.0
60	0	1	-711000.0
61	2	2	1425000.0
62	0	0	2726000.0
63	0	1	-711000.0
64	1	1	900500.0
65	2	2	1425000.0
66	0	2	1870000.0
67	0	0	2726000.0
68	1	2	1694500.0
69	0	2	1870000.0
70	0	0	2726000.0
71	1	0	2357000.0
72	2	0	210000.0
73	1	1	900500.0
74	0	0	2726000.0
75	2	0	210000.0
76	0	2	1870000.0
77	2	0	210000.0
78	2	1	766000.0
79	1	1	900500.0
80	1	2	1694500.0
81	2	0	210000.0
82	0	0	2726000.0
83	2	0	210000.0
84	2	1	766000.0
85	1	1	900500.0
86	2	2	1425000.0
87	2	0	210000.0
88	2	0	210000.0
89	0	0	2726000.0
90	1	2	1694500.0
91	1	2	1694500.0
92	0	1	-711000.0
93	0	2	1870000.0
94	2	1	766000.0
95	1	1	900500.0
96	2	2	1425000.0
97	2	0	210000.0
98	1	1	900500.0
99	0	0	2726000.0
100	2	1	766000.0
101	1	0	2357000.0
102	1	0	2357000.0
103	0	2	1870000.0
104	0	2	1870000.0
105	2	0	210000.0
106	0	0	2726000.0
107	2	0	210000.0
108	0	1	-711000.0
109	2	1	766000.0
110	1	1	900500.0
111	0	1	-711000.0
112	2	0	210000.0
113	2	1	766000.0
114	2	1	766000.0
115	0	1	-711000.0
116	0	1	-711000.0
117	2	0	210000.0
118	0	0	2726000.0
119	0	0	2726000.0
120	1	0	2357000.0
121	0	0	2726000.0
122	2	2	1425000.0
123	2	1	766000.0
124	1	1	900500.0
125	1	2	1694500.0
126	2	2	1425000.0
127	0	0	2726000.0
128	1	1	900500.0
129	1	2	1694500.0
130	0	1	-711000.0
131	1	2	1694500.0
132	2	0	210000.0
133	0	0	2726000.0
134	1	0	2357000.0
135	2	0	210000.0
136	0	2	1870000.0
137	0	0	2726000.0
138	2	1	766000.0
139	0	1	-711000.0
140	2	2	1425000.0
141	1	0	2357000.0
142	0	1	-711000.0
143	2	2	1425000.0
144	2	1	766000.0
145	1	1	900500.0
146	0	1	-711000.0
147	0	0	2726000.0
148	2	2	1425000.0
149	0	0	2726000.0
150	1	2	1694500.0
151	0	0	2726000.0
152	1	2	1694500.0
153	0	0	2726000.0
154	0	2	1870000.0
155	1	0	2357000.0
156	0	1	-711000.0
157	0	2	1870000.0
158	0	1	-711000.0
159	1	2	1694500.0
160	2	1	766000.0
161	1	0	2357000.0
162	1	1	900500.0
163	1	0	2357000.0
164	2	0	210000.0
165	2	0	210000.0
166	1	2	1694500.0
167	1	0	2357000.0
168	1	2	1694500.0
169	0	2	1870000.0
170	0	0	2726000.0
171	1	1	900500.0
172	0	2	1870000.0
173	2	0	210000.0
174	1	0	2357000.0
175	0	0	2726000.0
176	1	0	2357000.0
177	1	1	900500.0
178	0	2	1870000.0
179	0	0	2726000.0
180	1	1	900500.0
181	1	1	900500.0
182	2	0	210000.0
183	0	2	1870000.0
184	1	1	900500.0
185	1	0	2357000.0
186	2	2	1425000.0
187	1	0	2357000.0
188	1	2	1694500.0
189	2	1	766000.0
190	2	1	766000.0
191	2	0	210000.0
192	0	0	2726000.0
193	1	0	2357000.0
194	2	2	1425000.0
195	2	0	210000.0
196	2	2	1425000.0
197	2	1	766000.0
198	1	1	900500.0
199	1	1	900500.0
200	2	0	210000.0
201	0	0	2726000.0
202	1	2	1694500.0
203	1	2	1694500.0
204	0	2	1870000.0
205	0	0	2726000.0
206	1	1	900500.0
207	1	1	900500.0
208	1	1	900500.0
209	1	1	900500.0
210	0	2	1870000.0
211	2	2	1425000.0
212	2	1	766000.0
213	1	2	1694500.0
214	2	0	210000.0
215	0	2	1870000.0
216	1	1	900500.0
217	0	2	1870000.0
218	0	0	2726000.0
219	0	0	2726000.0
220	0	0	2726000.0
221	2	1	766000.0
222	2	0	210000.0
223	2	2	1425000.0
224	0	0	2726000.0
225	0	0	2726000.0
226	1	1	900500.0
227	1	2	1694500.0
228	1	0	2357000.0
229	0	1	-711000.0
230	2	2	1425000.0
231	0	1	-711000.0
232	1	2	1694500.0
233	0	1	-711000.0
234	1	0	2357000.0
235	2	0	210000.0
236	0	0	2726000.0
237	2	1	766000.0
238	0	1	-711000.0
239	1	2	1694500.0
240	1	0	2357000.0
241	0	0	2726000.0
242	2	0	210000.0
243	1	0	2357000.0
244	2	2	1425000.0
245	2	0	210000.0
246	2	0	210000.0
247	2	2	1425000.0
248	1	2	1694500.0
249	2	1	766000.0
250	1	2	1694500.0
251	0	2	1870000.0
252	1	0	2357000.0
253	1	0	2357000.0
254	0	1	-711000.0
255	2	1	766000.0
256	2	1	766000.0
257	0	2	1870000.0
258	0	0	2726000.0
259	1	0	2357000.0
260	2	0	210000.0
261	2	2	1425000.0
262	2	1	766000.0
263	2	1	766000.0
264	0	1	-711000.0
265	0	0	2726000.0
266	0	2	1870000.0
267	2	2	1425000.0
268	2	2	1425000.0
269	0	1	-711000.0
270	0	0	2726000.0
271	1	2	1694500.0
272	0	1	-711000.0
273	2	0	210000.0
274	0	1	-711000.0
275	2	0	210000.0
276	2	0	210000.0
277	0	2	1870000.0
278	2	2	1425000.0
279	2	1	766000.0
280	1	1	900500.0
281	2	1	766000.0
282	1	2	1694500.0
283	0	0	2726000.0
284	1	1	900500.0
285	2	1	766000.0
286	1	1	900500.0
287	0	0	2726000.0
288	2	0	210000.0
289	1	1	900500.0
290	1	2	1694500.0
291	2	2	1425000.0
292	0	0	2726000.0
293	2	2	1425000.0
294	0	0	2726000.0
295	2	0	210000.0
296	1	1	900500.0
297	0	0	2726000.0
298	2	1	766000.0
299	0	1	-711000.0
300	0	1	-711000.0
301	1	0	2357000.0
302	2	2	1425000.0
303	0	0	2726000.0
304	2	1	766000.0
305	1	0	2357000.0
306	2	0	210000.0
307	0	1	-711000.0
308	0	0	2726000.0
309	0	2	1870000.0
310	2	2	1425000.0
311	2	2	1425000.0
312	0	0	2726000.0
313	1	0	2357000.0
314	1	1	900500.0
315	0	0	2726000.0
316	1	0	2357000.0
317	0	0	2726000.0
318	0	2	1870000.0
319	0	1	-711000.0
320	2	2	1425000.0
321	1	2	1694500.0
322	1	0	2357000.0
323	0	0	2726000.0
324	1	1	900500.0
325	2	1	766000.0
326	1	0	2357000.0
327	0	0	2726000.0
328	2	1	766000.0
329	0	1	-711000.0
330	1	0	2357000.0
331	2	2	1425000.0
332	2	1	766000.0
333	0	2	1870000.0
334	1	0	2357000.0
335	2	1	766000.0
336	1	0	2357000.0
337	1	1	900500.0
338	0	1	-711000.0
339	0	2	1870000.0
340	0	0	2726000.0
341	1	0	2357000.0
342	2	1	766000.0
343	0	0	2726000.0
344	2	1	766000.0
345	2	2	1425000.0
346	0	2	1870000.0
347	1	2	1694500.0
348	0	2	1870000.0
349	0	0	2726000.0
350	2	1	766000.0
351	1	1	900500.0
352	0	1	-711000.0
353	1	0	2357000.0
354	1	0	2357000.0
355	1	2	1694500.0
356	1	2	1694500.0
357	2	2	1425000.0
358	2	1	766000.0
359	0	0	2726000.0
360	2	2	1425000.0
361	0	0	2726000.0
362	1	2	1694500.0
363	2	0	210000.0
364	1	1	900500.0
365	2	2	1425000.0
366	2	0	210000.0
367	1	0	2357000.0
368	1	2	1694500.0
369	0	1	-711000.0
370	1	1	900500.0
371	2	0	210000.0
372	0	2	1870000.0
373	2	1	766000.0
374	1	1	900500.0
375	0	2	1870000.0
376	2	1	766000.0
377	2	1	766000.0
378	1	0	2357000.0
379	2	0	210000.0
380	2	2	1425000.0
381	2	0	210000.0
382	2	0	210000.0
383	0	1	-711000.0
384	1	0	2357000.0
385	1	2	1694500.0
386	1	1	900500.0
387	1	1	900500.0
388	1	2	1694500.0
389	0	2	1870000.0
390	2	0	210000.0
391	0	2	1870000.0
392	1	2	1694500.0
393	2	0	210000.0
394	2	0	210000.0
395	1	0	2357000.0
396	1	2	1694500.0
397	2	1	766000.0
398	0	2	1870000.0
399	2	0	210000.0
400	2	2	1425000.0
401	0	0	2726000.0
402	2	0	210000.0
403	1	0	2357000.0
404	1	1	900500.0
405	2	0	210000.0
406	2	0	210000.0
407	1	1	900500.0
408	1	1	900500.0
409	0	1	-711000.0
410	2	1	766000.0
411	0	1	-711000.0
412	2	2	1425000.0
413	1	0	2357000.0
414	0	0	2726000.0
415	2	0	210000.0
416	2	2	1425000.0
417	0	1	-711000.0
418	1	0	2357000.0
419	1	1	900500.0
420	1	2	1694500.0
421	0	2	1870000.0
422	2	0	210000.0
423	1	1	900500.0
424	2	1	766000.0
425	2	1	766000.0
426	1	0	2357000.0
427	1	0	2357000.0
428	2	2	1425000.0
429	2	0	210000.0
430	1	1	900500.0
431	0	2	1870000.0
432	0	0	2726000.0
433	0	1	-711000.0
434	0	2	1870000.0
435	0	0	2726000.0
436	1	0	2357000.0
437	1	1	900500.0
438	2	0	210000.0
439	2	0	210000.0
440	0	0	2726000.0
441	2	0	210000.0
442	1	2	1694500.0
443	1	0	2357000.0
444	2	2	1425000.0
445	2	0	210000.0
446	1	2	1694500.0
447	0	0	2726000.0
448	1	1	900500.0
449	2	0	210000.0
450	2	0	210000.0
451	0	0	2726000.0
452	1	1	900500.0
